FileSpec	VMAF-Value	Bitrate
NVENC_Compressed\DJI_0049_nvidia_qmax27.mp4	99.6591	70175.02
NVENC_Compressed\DJI_0049_nvidia_qmax28.mp4	99.2935	61533.54
NVENC_Compressed\DJI_0049_nvidia_qmax29.mp4	98.5866	53192.01
NVENC_Compressed\DJI_0049_nvidia_qmax30.mp4	97.6694	46441.94
NVENC_Compressed\DJI_0049_nvidia_qmax31.mp4	96.0532	39246.24
NVENC_Compressed\DJI_0049_nvidia_qmax32.mp4	93.8959	32714.19
NVENC_Compressed\DJI_0050_nvidia_qmax24.mp4	99.7353	86372.71
NVENC_Compressed\DJI_0050_nvidia_qmax23.mp4	99.7988	94654.04
NVENC_Compressed\DJI_0050_nvidia_qmax25.mp4	99.6419	77440.40
NVENC_Compressed\DJI_0050_nvidia_qmax26.mp4	99.4868	68499.51
NVENC_Compressed\DJI_0050_nvidia_qmax27.mp4	99.2280	60908.53
NVENC_Compressed\DJI_0050_nvidia_qmax28.mp4	98.7534	53466.79
NVENC_Compressed\DJI_0050_nvidia_qmax29.mp4	97.8983	46279.56
NVENC_Compressed\DJI_0050_nvidia_qmax30.mp4	96.8378	40471.74
NVENC_Compressed\DJI_0050_nvidia_qmax31.mp4	95.2472	34310.43
NVENC_Compressed\DJI_0050_nvidia_qmax32.mp4	93.5342	28952.79
NVENC_Compressed\DJI_0054_nvidia_qmax23.mp4	95.8856	37236.56
NVENC_Compressed\DJI_0054_nvidia_qmax24.mp4	95.4243	29042.28
NVENC_Compressed\DJI_0054_nvidia_qmax25.mp4	94.8012	20796.94
NVENC_Compressed\DJI_0054_nvidia_qmax26.mp4	94.2909	15466.22
NVENC_Compressed\DJI_0054_nvidia_qmax27.mp4	94.1360	13757.61
NVENC_Compressed\DJI_0054_nvidia_qmax28.mp4	94.0365	13233.42
NVENC_Compressed\DJI_0054_nvidia_qmax29.mp4	94.0139	13126.80
NVENC_Compressed\DJI_0054_nvidia_qmax30.mp4	94.0086	13126.78
NVENC_Compressed\DJI_0062_nvidia_qmax23.mp4	96.9345	16012.38
NVENC_Compressed\DJI_0062_nvidia_qmax24.mp4	96.9276	16012.00
NVENC_Compressed\DJI_0062_nvidia_qmax25.mp4	95.9927	4982.78
NVENC_Compressed\DJI_0062_nvidia_qmax26.mp4	95.9949	4996.17
NVENC_Compressed\DJI_0062_nvidia_qmax27.mp4	95.9949	4996.17
NVENC_Compressed\DJI_0062_nvidia_qmax28.mp4	95.9949	4996.17
NVENC_Compressed\DJI_0054_nvidia_qmax31.mp4	94.0086	13126.78
NVENC_Compressed\DJI_0054_nvidia_qmax32.mp4	94.0086	13126.78
MAC_Compressed\DJI_0046_mac_qv54.mp4	84.7289	12808.62
MAC_Compressed\DJI_0046_mac_qv56.mp4	86.9734	15886.44
MAC_Compressed\DJI_0046_mac_qv59.mp4	88.9570	19351.96
MAC_Compressed\DJI_0046_mac_qv61.mp4	90.8184	23721.38
MAC_Compressed\DJI_0046_mac_qv63.mp4	92.4934	28782.65
MAC_Compressed\DJI_0046_mac_qv65.mp4	93.8963	34343.69
NVENC_Compressed\DJI_0062_nvidia_qmax29.mp4	95.9949	4996.17
NVENC_Compressed\DJI_0062_nvidia_qmax30.mp4	95.9949	4996.17
MAC_Compressed\DJI_0046_mac_qv67.mp4	95.1701	41036.21
MAC_Compressed\DJI_0046_mac_qv69.mp4	96.1946	48092.00
MAC_Compressed\DJI_0048_mac_qv54.mp4	94.0196	27326.44
MAC_Compressed\DJI_0046_mac_qv71.mp4	96.9716	55042.40
MAC_Compressed\DJI_0046_mac_qv73.mp4	98.0995	64571.00
NVENC_Compressed\DJI_0062_nvidia_qmax31.mp4	95.9949	4996.17
MAC_Compressed\DJI_0048_mac_qv56.mp4	95.7728	31636.56
MAC_Compressed\DJI_0048_mac_qv59.mp4	97.0443	35960.67
MAC_Compressed\DJI_0048_mac_qv61.mp4	98.1078	41139.53
NVENC_Compressed\DJI_0062_nvidia_qmax32.mp4	95.9949	4996.17
MAC_Compressed\DJI_0048_mac_qv63.mp4	98.7736	46637.51
MAC_Compressed\DJI_0048_mac_qv65.mp4	99.1772	52352.63
MAC_Compressed\DJI_0048_mac_qv67.mp4	99.4964	58909.71
MAC_Compressed\DJI_0048_mac_qv69.mp4	99.7234	65570.24
MAC_Compressed\DJI_0048_mac_qv71.mp4	99.8434	71899.92
MAC_Compressed\DJI_0048_mac_qv73.mp4	99.9289	80216.79
MAC_Compressed\DJI_0048_mac_qv75.mp4	99.9558	87570.96
MAC_Compressed\DJI_0046_mac_qv75.mp4	98.5386	72672.26
MAC_Compressed\DJI_0049_mac_qv54.mp4	95.5048	36898.73
MAC_Compressed\DJI_0049_mac_qv56.mp4	97.1700	42503.48
MAC_Compressed\DJI_0049_mac_qv59.mp4	98.2245	48020.00
MAC_Compressed\DJI_0049_mac_qv61.mp4	99.0337	54480.00
MAC_Compressed\DJI_0049_mac_qv63.mp4	99.5140	61222.66
MAC_Compressed\DJI_0049_mac_qv65.mp4	99.7701	68120.79
MAC_Compressed\DJI_0049_mac_qv67.mp4	99.9189	75921.77
MAC_Compressed\DJI_0049_mac_qv69.mp4	99.9737	83716.09
MAC_Compressed\DJI_0049_mac_qv71.mp4	99.9906	91069.34
MAC_Compressed\DJI_0049_mac_qv73.mp4	99.9974	101668.58
MAC_Compressed\DJI_0049_mac_qv75.mp4	99.9980	110557.33
MAC_Compressed\DJI_0050_mac_qv54.mp4	94.4098	32409.39
MAC_Compressed\DJI_0050_mac_qv56.mp4	96.1723	37476.30
MAC_Compressed\DJI_0050_mac_qv59.mp4	97.4175	42467.23
MAC_Compressed\DJI_0050_mac_qv61.mp4	98.4027	48271.08
MAC_Compressed\DJI_0050_mac_qv63.mp4	99.0177	54293.27
MAC_Compressed\DJI_0050_mac_qv65.mp4	99.3598	60398.14
MAC_Compressed\DJI_0050_mac_qv67.mp4	99.5705	67263.79
MAC_Compressed\DJI_0050_mac_qv69.mp4	99.6899	74089.27
MAC_Compressed\DJI_0050_mac_qv71.mp4	99.7634	80499.10
