FileSpec	VMAF-Value	Bitrate
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp18_aq.mp4	96.0855	56001.96
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp19_aq.mp4	95.6343	45786.07
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp20_aq.mp4	95.1539	36869.95
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp21_aq.mp4	94.5491	28447.39
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp23_aq.mp4	93.5438	17568.22
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp22_aq.mp4	94.0589	22529.54
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp24_aq.mp4	93.0154	13547.18
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp25_aq.mp4	92.3291	10029.31
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp18_aq.mp4	96.5334	17968.69
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp26_aq.mp4	91.7576	7708.28
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp27_aq.mp4	91.0982	5836.12
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp28_aq.mp4	90.3550	4455.53
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp30_aq.mp4	88.3887	2657.81
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp31_aq.mp4	87.2606	2106.33
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp32_aq.mp4	85.9967	1691.41
NVENC_QP_AQ_Compressed\DJI_0054_nvidia_qp29_aq.mp4	89.3984	3403.82
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp19_aq.mp4	96.3463	14998.83
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp20_aq.mp4	96.1294	12549.48
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp21_aq.mp4	95.8319	9495.10
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp22_aq.mp4	95.6127	7386.11
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp23_aq.mp4	95.3719	5888.18
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp24_aq.mp4	95.1155	4577.33
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp25_aq.mp4	94.7117	3370.48
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp26_aq.mp4	94.4140	2708.46
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp27_aq.mp4	94.1082	2176.94
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp28_aq.mp4	93.8278	1767.05
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp29_aq.mp4	93.4940	1400.42
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp30_aq.mp4	93.1209	1123.87
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp31_aq.mp4	92.7298	900.79
NVENC_QP_AQ_Compressed\DJI_0062_nvidia_qp32_aq.mp4	92.3135	725.92
